date,full_name,stars,forks,open_issues,created_at,pushed_at,top_contributors
2026-08-30,rocketride-org/rocketride-server,7375,2765,406,2026-02-11T17:02:53Z,2026-08-29T22:10:52Z,Rod-Christensen;kwit75;asclearuc;ryan-t-christensen;anandray
2026-08-30,volcengine/OpenViking,34350,2619,583,2026-01-05T07:11:17Z,2026-08-30T06:31:10Z,qin-ctx;zhoujh01;ZaynJarvis;r266-tech;MaojiaSheng
2026-08-30,fabric8io/kubernetes-client,3671,1514,104,2015-07-09T15:43:13Z,2026-08-27T12:21:07Z,manusa;dependabot[bot];fusesource-ci;iocanel;rohanKanojia
2026-08-30,conorbronsdon/avoid-ai-writing,3796,330,24,2026-03-06T07:47:40Z,2026-08-29T04:15:37Z,conorbronsdon;ClaySecAI;mbhall88;wilu222;claude
2026-08-30,apolloconfig/apollo,29807,10162,160,2016-03-04T10:24:23Z,2026-08-30T02:32:49Z,nobodyiam;lepdou;yiming187;klboke;Anilople
2026-08-30,cactus-compute/needle,9692,625,31,2026-02-24T04:50:47Z,2026-08-29T16:01:58Z,HenryNdubuaku;ncylich;kar-m;LeonSGP43;justinl66
2026-08-30,langchain-ai/langchain,145261,24246,429,2022-10-17T02:58:36Z,2026-08-30T03:40:23Z,baskaryan;hwchase17;ccurme;mdrxy;eyurtsev
2026-08-30,firecrawl/anydoc,19239,1140,72,2026-08-03T16:36:14Z,2026-08-28T02:13:16Z,tomsideguide;nickscamara;abimaelmartell;Andsu-dev;ericciarla
2026-08-30,block/buzz,31463,4025,3235,2026-03-06T21:00:56Z,2026-08-30T01:03:46Z,wesbillman;wpfleger96;tlongwell-block;klopez4212;tellaho
2026-08-30,HKUDS/Vibe-Trading,32077,5233,22,2026-04-01T09:52:20Z,2026-08-29T04:59:38Z,warren618;santhreal;shadowinlife;xkam7ar;wiliao
2026-08-30,herdrdev/herdr,33469,2439,258,2026-03-27T17:54:33Z,2026-08-30T00:03:26Z,ogulcancelik;kangal-bot;akbash-bot;Pimpmuckl;dhh
2026-08-30,addyosmani/agent-skills,90803,9713,124,2026-02-15T20:20:26Z,2026-08-28T23:31:50Z,addyosmani;nucliweb;federicobartoli;ayobamiseun;Liyuk
2026-08-30,firecrawl/anydoc,19242,1140,72,2026-08-03T16:36:14Z,2026-08-28T02:13:16Z,tomsideguide;nickscamara;abimaelmartell;Andsu-dev;ericciarla
